client,Lobbyist,Quarterly return period
London School of Economics,Cavendish Place Communications Limited,April to June 2017
London School of Economics,Cavendish Place Communications Limited,April to June 2018
London School of Economics,Cavendish Place Communications Limited,January to March 2017
London School of Economics,Cavendish Place Communications Limited,January to March 2018
London School of Economics,Cavendish Place Communications Limited,July to September 2016
London School of Economics,Cavendish Place Communications Limited,July to September 2017
London School of Economics,Cavendish Place Communications Limited,July to September 2018
London School of Economics,Cavendish Place Communications Limited,October to December 2017
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,April to June 2017
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,April to June 2018
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,January to March 2017
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,January to March 2018
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,July to September 2017
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,July to September 2018
Mayfield Market Towns Ltd,Cavendish Place Communications Limited,October to December 2017
Memoria,Cavendish Place Communications Limited,April to June 2017
Memoria,Cavendish Place Communications Limited,January to March 2018
Memoria,Cavendish Place Communications Limited,July to September 2016
Memoria,Cavendish Place Communications Limited,July to September 2018
Metro Bank,Cavendish Place Communications Limited,April to June 2017
Metro Bank,Cavendish Place Communications Limited,April to June 2018
Metro Bank,Cavendish Place Communications Limited,January to March 2018
Metro Bank,Cavendish Place Communications Limited,July to September 2017
Metro Bank,Cavendish Place Communications Limited,July to September 2018
Metro Bank,Cavendish Place Communications Limited,October to December 2017
Moray Economic Partnership,Cavendish Place Communications Limited,January to March 2015
Moray Economic Partnership,Cavendish Place Communications Limited,January to March 2018
Moray Economic Partnership,Cavendish Place Communications Limited,July to September 2018
O & H properties,Cavendish Place Communications Limited,April to June 2018
O & H properties,Cavendish Place Communications Limited,January to March 2018
O & H properties,Cavendish Place Communications Limited,July to September 2017
O & H properties,Cavendish Place Communications Limited,July to September 2018
O&H,Cavendish Place Communications Limited,April to June 2018
O&H,Cavendish Place Communications Limited,January to March 2018
O&H,Cavendish Place Communications Limited,July to September 2018
O&H,Cavendish Place Communications Limited,October to December 2017
Social Chain,Cavendish Place Communications Limited,January to March 2018
Social Chain,Cavendish Place Communications Limited,July to September 2018
Starbucks,Cavendish Place Communications Limited,April to June 2015
Starbucks,Cavendish Place Communications Limited,April to June 2017
Starbucks,Cavendish Place Communications Limited,April to June 2018
Starbucks,Cavendish Place Communications Limited,January to March 2017
Starbucks,Cavendish Place Communications Limited,January to March 2018
Starbucks,Cavendish Place Communications Limited,July to September 2015
Starbucks,Cavendish Place Communications Limited,July to September 2017
Starbucks,Cavendish Place Communications Limited,July to September 2018
Starbucks,Cavendish Place Communications Limited,October to December 2016
Starbucks,Cavendish Place Communications Limited,October to December 2017
Travelport,Cavendish Place Communications Limited,April to June 2016
Travelport,Cavendish Place Communications Limited,April to June 2017
Travelport,Cavendish Place Communications Limited,April to June 2018
Travelport,Cavendish Place Communications Limited,January to March 2016
Travelport,Cavendish Place Communications Limited,January to March 2018
Travelport,Cavendish Place Communications Limited,July to September 2016
Travelport,Cavendish Place Communications Limited,July to September 2017
Travelport,Cavendish Place Communications Limited,July to September 2018
Travelport,Cavendish Place Communications Limited,October to December 2017
Trussle,Cavendish Place Communications Limited,April to June 2018
Trussle,Cavendish Place Communications Limited,July to September 2018
UL,Cavendish Place Communications Limited,January to March 2018
UL,Cavendish Place Communications Limited,July to September 2018
UL,Cavendish Place Communications Limited,October to December 2017
Urbanest,Cavendish Place Communications Limited,January to March 2018
Urbanest,Cavendish Place Communications Limited,July to September 2018
Urbanest,Cavendish Place Communications Limited,October to December 2017
VocaLink,Cavendish Place Communications Limited,April to June 2015
VocaLink,Cavendish Place Communications Limited,April to June 2016
VocaLink,Cavendish Place Communications Limited,January to March 2015
VocaLink,Cavendish Place Communications Limited,January to March 2016
VocaLink,Cavendish Place Communications Limited,January to March 2018
VocaLink,Cavendish Place Communications Limited,July to September 2015
VocaLink,Cavendish Place Communications Limited,July to September 2016
VocaLink,Cavendish Place Communications Limited,July to September 2018
VocaLink,Cavendish Place Communications Limited,October to December 2015
VocaLink,Cavendish Place Communications Limited,October to December 2016
VocaLink,Cavendish Place Communications Limited,October to December 2017
Westminster Property Association,Cavendish Place Communications Limited,April to June 2017
Westminster Property Association,Cavendish Place Communications Limited,April to June 2018
Westminster Property Association,Cavendish Place Communications Limited,January to March 2017
Westminster Property Association,Cavendish Place Communications Limited,January to March 2018
Westminster Property Association,Cavendish Place Communications Limited,July to September 2016
Westminster Property Association,Cavendish Place Communications Limited,July to September 2017
Westminster Property Association,Cavendish Place Communications Limited,July to September 2018
Westminster Property Association,Cavendish Place Communications Limited,October to December 2015
Westminster Property Association,Cavendish Place Communications Limited,October to December 2016
Westminster Property Association,Cavendish Place Communications Limited,October to December 2017
All Party Parliamentary Corporate Responsibility Group,Central Lobby Consultants Ltd,January to March 2018
All Party Parliamentary Corporate Responsibility Group,Central Lobby Consultants Ltd,July to September 2017
All Party Parliamentary Corporate Responsibility Group,Central Lobby Consultants Ltd,October to December 2016
Charity Tax Group (CTG),Central Lobby Consultants Ltd,April to June 2015
Charity Tax Group (CTG),Central Lobby Consultants Ltd,April to June 2016
Charity Tax Group (CTG),Central Lobby Consultants Ltd,January to March 2017
Charity Tax Group (CTG),Central Lobby Consultants Ltd,July to September 2015
Charity Tax Group (CTG),Central Lobby Consultants Ltd,July to September 2016
Charity Tax Group (CTG),Central Lobby Consultants Ltd,October to December 2015
Charity Tax Group (CTG),Central Lobby Consultants Ltd,October to December 2016
Churches' Legislation Advisory Service,Central Lobby Consultants Ltd,July to September 2015
A.G. Barr,Charlotte Street Partners,April to June 2016
Carrick Therapeutics Ltd.,Charlotte Street Partners,October to December 2016
Wireless Infrastructure Group,Charlotte Street Partners,April to June 2016
Wireless Infrastructure Group,Charlotte Street Partners,January to March 2016
Wireless Infrastructure Group,Charlotte Street Partners,October to December 2017
@UK Plc,CHELGATE LIMITED,April to June 2016
@UK plc,CHELGATE LIMITED,January to March 2015
@UK Plc,CHELGATE LIMITED,January to March 2016
@UK Plc,CHELGATE LIMITED,July to September 2015
@UK Plc,CHELGATE LIMITED,October to December 2015
Axon Solutions Limited,CHELGATE LIMITED,January to March 2015
Axon Solutions Ltd,CHELGATE LIMITED,April to June 2015
Bonnar Allan,CHELGATE LIMITED,April to June 2018
Bonnar Allan,CHELGATE LIMITED,January to March 2018
Commercial Estates Group,CHELGATE LIMITED,April to June 2016
Commercial Estates Group,CHELGATE LIMITED,April to June 2017
Commercial Estates Group,CHELGATE LIMITED,January to March 2016
Commercial Estates Group,CHELGATE LIMITED,January to March 2017
Commercial Estates Group,CHELGATE LIMITED,July to September 2015
Commercial Estates Group,CHELGATE LIMITED,July to September 2016
Commercial Estates Group,CHELGATE LIMITED,October to December 2015
Commercial Estates Group,CHELGATE LIMITED,October to December 2016
Discovery Education,CHELGATE LIMITED,October to December 2015
Fairoaks Garden Village Limited,CHELGATE LIMITED,April to June 2018
Hallam Land Management Ltd,CHELGATE LIMITED,April to June 2016
Hallam Land Management Ltd,CHELGATE LIMITED,April to June 2017
Hallam Land Management Ltd,CHELGATE LIMITED,January to March 2016
Hallam Land Management Ltd,CHELGATE LIMITED,January to March 2017
Hallam Land Management Ltd,CHELGATE LIMITED,July to September 2015
Hallam Land Management Ltd,CHELGATE LIMITED,July to September 2016
Hallam Land Management Ltd,CHELGATE LIMITED,October to December 2015
Hallam Land Management Ltd,CHELGATE LIMITED,October to December 2016
J. Tomilson Hill,CHELGATE LIMITED,April to June 2017
J. Tomilson Hill,CHELGATE LIMITED,July to September 2017
Larkfleet,CHELGATE LIMITED,April to June 2015
Larkfleet,CHELGATE LIMITED,January to March 2015
Larkfleet,CHELGATE LIMITED,July to September 2015
Renewable Energy Systems Ltd,CHELGATE LIMITED,April to June 2016
Renewable Energy Systems Ltd,CHELGATE LIMITED,January to March 2016
Renewable Energy Systems Ltd,CHELGATE LIMITED,July to September 2015
Renewable Energy Systems Ltd,CHELGATE LIMITED,October to December 2015
Rift Ltd,CHELGATE LIMITED,April to June 2015
Rift Ltd,CHELGATE LIMITED,October to December 2015
Satellite Information Services Limited,CHELGATE LIMITED,April to June 2016
Satellite Information Services Limited,CHELGATE LIMITED,January to March 2015
Satellite Information Services Limited,CHELGATE LIMITED,January to March 2016
Satellite Information Services Limited,CHELGATE LIMITED,July to September 2015
Satellite Information Services Limited,CHELGATE LIMITED,July to September 2016
Satellite Information Services Limited,CHELGATE LIMITED,October to December 2016
Satellite Information Services Ltd,CHELGATE LIMITED,April to June 2015
Satellite Information Services Ltd,CHELGATE LIMITED,October to December 2015
Sport Information Services Limited,CHELGATE LIMITED,April to June 2017
Sport Information Services Limited,CHELGATE LIMITED,April to June 2018
Sport Information Services Limited,CHELGATE LIMITED,January to March 2017
Sport Information Services Limited,CHELGATE LIMITED,January to March 2018
Sutton Harbour Holdings,CHELGATE LIMITED,October to December 2016
The Gracechurch Group,CHELGATE LIMITED,January to March 2018
Aberdeen Asset Management,Cicero Consulting Limited,July to September 2016
Aberdeen Standard Investments,Cicero Consulting Limited,October to December 2017
Aldermore,Cicero Consulting Limited,July to September 2015
Aldermore Bank plc,Cicero Consulting Limited,July to September 2016
Aldermore Bank plc,Cicero Consulting Limited,July to September 2018
AXA UK Plc,Cicero Consulting Limited,July to September 2016
AXA UK Plc,Cicero Consulting Limited,October to December 2015
AXA UK plc,Cicero Consulting Limited,October to December 2017
Bank of America Merrill Lynch,Cicero Consulting Limited,October to December 2017
Barclays,Cicero Consulting Limited,July to September 2016
Barclays,Cicero Consulting Limited,October to December 2015
Barclays,Cicero Consulting Limited,October to December 2017
BGL Group,Cicero Consulting Limited,October to December 2017
Citi,Cicero Consulting Limited,April to June 2018
Citi,Cicero Consulting Limited,October to December 2017
comparethemarket.com,Cicero Consulting Limited,April to June 2015
comparethemarket.com,Cicero Consulting Limited,January to March 2016
comparethemarket.com,Cicero Consulting Limited,January to March 2017
comparethemarket.com,Cicero Consulting Limited,January to March 2018
comparethemarket.com,Cicero Consulting Limited,July to September 2018
Financial Reporting Council,Cicero Consulting Limited,October to December 2017
Health Food Manufacturers? Association (HFMA),Cicero Consulting Limited,January to March 2015
Health Food Manufacturers? Association (HFMA),Cicero Consulting Limited,October to December 2015
Heath Food Manufacturers? Association (HFMA),Cicero Consulting Limited,April to June 2015
