name,purpose,mmname,position,party
British-Swedish All-Party Parliamentary Group,"To promote relations between Britain and Sweden, their parliaments and people.",Lord Mountevans,Vice Chair,Crossbench
British-Swedish All-Party Parliamentary Group,"To promote relations between Britain and Sweden, their parliaments and people.",Viscount Craigavon,Secretary,Crossbench
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Andrew Rosindell,Chair & Registered Contact,Conservative
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Dame Caroline Spelman,President,Conservative
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Lord Davies of Stamford,Vice Chair,Labour
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Lord Kilclooney,Vice Chair,Crossbench
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Baroness Hooper,Vice Chair,Conservative
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Angus Brendan MacNeil,Vice Chair,Scottish National Party
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Mr Nigel Evans,Vice Chair,Conservative
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Ian Paisley,Vice Chair,Democratic Unionist Party
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Henry Smith,Ski Captain,Conservative
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Mark Menzies,Treasurer,Conservative
British-Switzerland All-Party Parliamentary Group,To promote ever better relations between British and Swiss parliamentarians and foster an ever deeper understanding of our respective countries.,Tim Loughton,Secretary,Conservative
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Mr Roger Godsiff,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Lord Balfe,Vice-Chair,Conservative
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Baroness Uddin,Vice-Chair,Non-affiliated
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Lord Dubs,Vice-Chair,Labour
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Lord Kilclooney,Vice-Chair,Crossbench
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Sir David Amess,Vice-Chair,Conservative
All-Party Parliamentary Group on Syria,"To raise awareness in Parliament of the impact of the conflict, among people still in Syria and refugees. Also focused on civilian protection, the refugee crisis, and human rights.",Deidre Brock,Vice-Chair,Scottish National Party
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Mr Nigel Evans,Chair & Registered Contact,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Lord Rogan,Co-Chair,Ulster Unionist Party
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Ian C. Lucas,Vice Chair,Labour
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Andrew Rosindell,Vice Chair,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Andrea Jenkyns,Vice Chair,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Lord Dholakia,Vice Chair,Liberal Democrat
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,David Morris,Vice Chair,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Sarah Champion,Vice Chair,Labour
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Angus Brendan MacNeil,Vice Chair,Scottish National Party
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Ian Paisley,Vice Chair,Democratic Unionist Party
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Bob Stewart,Vice Chair,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Lord Kilclooney,Vice Chair,Crossbench
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Lord Arbuthnot of Edrom,Vice Chair,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Baroness Anelay of St Johns,Vice Chair,Conservative
British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Mrs Sheryll Murray,Secretary,Conservative
British-Tajikistan All-Party Parliamentary Group,To build relations between the UK and Tajikistan.,Nigel Mills,Chair & Registered Contact,Conservative
British-Tajikistan All-Party Parliamentary Group,To build relations between the UK and Tajikistan.,Baroness Stern,Co-Chair,Crossbench
British-Tajikistan All-Party Parliamentary Group,To build relations between the UK and Tajikistan.,John Mann,Vice Chair,Labour
British-Tajikistan All-Party Parliamentary Group,To build relations between the UK and Tajikistan.,Lord Sheikh,Vice Chair,Conservative
